grammar,L,k,coverage,seed,corpus_max_len,accepted_count,retained_count,num_learned_classes,oracle_num_classes,ARI_vs_oracle,NMI_vs_oracle,pairwise_precision_vs_oracle,pairwise_recall_vs_oracle,matches_oracle,partition_hash
transitive,6,4,0.800000,2,10,10,8,27,13,0.958267,0.919834,0.999857,1.000000,0,c37aa02c40226b48
transitive,6,0,0.800000,3,10,10,8,2,2,0.888839,0.843069,0.999929,1.000000,0,4fe596652920fb71
transitive,6,1,0.800000,3,10,10,8,6,5,0.916596,0.880300,0.999857,1.000000,0,4f9471236e317545
transitive,6,2,0.800000,3,10,10,8,14,10,0.949934,0.919900,0.999857,1.000000,0,8bfec908eef5337e
transitive,6,3,0.800000,3,10,10,8,18,12,0.956456,0.926667,0.999857,1.000000,0,59d93a45fe64be23
transitive,6,4,0.800000,3,10,10,8,20,13,0.958268,0.928656,0.999857,1.000000,0,3f281bd000077191
transitive,6,0,1.000000,1,10,10,10,2,2,1.000000,1.000000,1.000000,1.000000,1,20569cfca1557891
transitive,6,1,1.000000,1,10,10,10,5,5,1.000000,1.000000,1.000000,1.000000,1,22b4e7b2e52aa156
transitive,6,2,1.000000,1,10,10,10,10,10,1.000000,1.000000,1.000000,1.000000,1,601c51c987a46e9a
transitive,6,3,1.000000,1,10,10,10,12,12,1.000000,1.000000,1.000000,1.000000,1,06f76a6d929e189c
transitive,6,4,1.000000,1,10,10,10,13,13,1.000000,1.000000,1.000000,1.000000,1,d2e2cf4b60c7e05d
transitive,6,0,1.000000,2,10,10,10,2,2,1.000000,1.000000,1.000000,1.000000,1,20569cfca1557891
transitive,6,1,1.000000,2,10,10,10,5,5,1.000000,1.000000,1.000000,1.000000,1,22b4e7b2e52aa156
transitive,6,2,1.000000,2,10,10,10,10,10,1.000000,1.000000,1.000000,1.000000,1,601c51c987a46e9a
transitive,6,3,1.000000,2,10,10,10,12,12,1.000000,1.000000,1.000000,1.000000,1,06f76a6d929e189c
transitive,6,4,1.000000,2,10,10,10,13,13,1.000000,1.000000,1.000000,1.000000,1,d2e2cf4b60c7e05d
transitive,6,0,1.000000,3,10,10,10,2,2,1.000000,1.000000,1.000000,1.000000,1,20569cfca1557891
transitive,6,1,1.000000,3,10,10,10,5,5,1.000000,1.000000,1.000000,1.000000,1,22b4e7b2e52aa156
transitive,6,2,1.000000,3,10,10,10,10,10,1.000000,1.000000,1.000000,1.000000,1,601c51c987a46e9a
transitive,6,3,1.000000,3,10,10,10,12,12,1.000000,1.000000,1.000000,1.000000,1,06f76a6d929e189c
transitive,6,4,1.000000,3,10,10,10,13,13,1.000000,1.000000,1.000000,1.000000,1,d2e2cf4b60c7e05d
recursive_modifier,6,0,0.050000,1,10,255,13,2,2,0.124826,0.107992,0.998567,1.000000,0,930c5b393cc27f30
recursive_modifier,6,1,0.050000,1,10,255,13,4,4,0.165721,0.141302,0.992846,0.999999,0,d4b4ba5bcdb73547
recursive_modifier,6,2,0.050000,1,10,255,13,8,7,0.143380,0.125502,0.980847,0.999997,0,95b9836458d9e3a9
recursive_modifier,6,3,0.050000,1,10,255,13,17,8,0.225804,0.197390,0.970816,0.999987,0,b3f70cc78bc45384
